听说手办很贵？本野一包白砂糖搞定糖艺手办，好像发现了不得了的致富之路 办公室小野 L办公室小野的秒拍视频,2018/9/7 18:10,https://weibo.com/5869525717/GygOpfM8A?from=page_1005055869525717_profile&wvr=6&mod=weibotime
开学惹，课代表收一下自拍作业。,2018/9/5 18:40,https://weibo.com/5869525717/GxY9JDEHt?from=page_1005055869525717_profile&wvr=6&mod=weibotime
小荷才露尖尖角，正是本野心头好，一场说开就开的荷花宴，真香！　办公室小野 L办公室小野的秒拍视频,2018/8/31 19:12,https://weibo.com/5869525717/GxdelaEB6?from=page_1005055869525717_profile&wvr=6&mod=weibotime
我的掌上明�~ O微博视频,2018/8/30 18:57,https://weibo.com/5869525717/Gx3HNzJJU?from=page_1005055869525717_profile&wvr=6&mod=weibotime
跟大家介绍一下，这是我的新宠物   L办公室小野的微博视频,2018/8/28 19:59,https://weibo.com/5869525717/GwLfYnjBp?from=page_1005055869525717_profile&wvr=6&mod=weibotime
今天是中元节，评论里抽一个给我讲鬼故事。 办公室小野,2018/8/25 21:00,https://weibo.com/5869525717/GwjmXclS9?from=page_1005055869525717_profile&wvr=6&mod=weibotime
今天部门团建，野生小野水车烤鸡，快乐转转转~   办公室小野 L办公室小野的秒拍视频,2018/8/24 18:17,https://weibo.com/5869525717/Gw8SAp0OL?from=page_1005055869525717_profile&wvr=6&mod=weibotime
水缸烧鹅，收获鹅外美味！办公室小野 L办公室小野的秒拍视频,2018/8/17 18:10,https://weibo.com/5869525717/Gv4PZbHnL?from=page_1005055869525717_profile&wvr=6&mod=weibotime
全世界早安 除了纯妃,2018/8/13 8:02,https://weibo.com/5869525717/Gup9qbicf?from=page_1005055869525717_profile&wvr=6&mod=weibotime
今日份的少女野已上线，上次去香港的写真选了几张出来做成了明信片，想要的宝宝举手，评论里抽10个送全套～#办公室小野#,2018/8/12 14:04,https://weibo.com/5869525717/Gui5ZCPpn?from=page_1005055869525717_profile&wvr=6&mod=weibotime
"上周末我跟@财务小姐姐 约了次石棉烧烤，屁股还没坐热就被师傅一波骚操作给吸引了，看着肉片片儿在板上起那么高的火，超酷！
爱学习的我，默默把全程操作记在我小本本上，转身回办公室就用文件柜现学现烤，没想到效果出乎意料的amazing！！！

（爱学习是好事，但野哥温馨提示：此次烹饪为专业操作，你 ...展开全文c",2018/8/10 18:13,https://weibo.com/5869525717/Gu0RMo55B?from=page_1005055869525717_profile&wvr=6&mod=weibotime
你们喜欢就好昨天剪这支片子到现在和同事只睡了俩小时，担心你们不适应这样的小野，毕竟以前的视频里几乎没有开口说过话，还有好多同学以为我是哑巴这次视频里讲的话比去年一年还多，对我也是一次不小的挑战。但看到你们的留言和私信瞬间困意全无，满满正能量啊。谢谢你们的 ...展开全文c,2018/8/9 15:12,https://weibo.com/5869525717/GtQfL2Rd0?from=page_1005055869525717_profile&wvr=6&mod=weibotime
"hihihi~突然更新的日常！最近两个月连轴转，几乎都在外面出差  
刚从香港参加完活动回来，顺带拍了个在外的日常给你们看！这个vlog剪了俩通宵，热乎的，你们赶紧看啊啊啊啊，不许失望（如果你们喜欢酱紫的形式，我以后可以多拍）对了对了，这次从香港回来还给你们带了些礼物，我已经打包好啦 ...展开全文c",2018/8/9 12:24,https://weibo.com/5869525717/GtP9U4WUm?from=page_1005055869525717_profile&wvr=6&mod=weibotime
人生总是面临两难的选择，给你只小奶狗，或给你只小狼狗，你不知道选哪个。但我更喜欢猫,2018/8/8 14:43,https://weibo.com/5869525717/GtGDAfdCk?from=page_1005055869525717_profile&wvr=6&mod=weibotime
人生第一次收到鸽子蛋，以机箱蛋宴庆祝此刻丝滑#办公室小野# L办公室小野的秒拍视频,2018/8/3 18:10,https://weibo.com/5869525717/GsWR1A826?from=page_1005055869525717_profile&wvr=6&mod=weibotime
"说好一起加班脸出油
你却偷偷敷面膜",2018/8/1 0:33,https://weibo.com/5869525717/Gsx5luqf6?from=page_1005055869525717_profile&wvr=6&mod=weibotime
